1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,2
2/27/2020,2
2/28/2020,2
2/29/2020,4
3/1/2020,4
3/2/2020,4
3/3/2020,5
3/4/2020,5
3/5/2020,5
3/6/2020,6
3/7/2020,6
3/8/2020,6
3/9/2020,6
3/10/2020,16
3/11/2020,19
3/12/2020,20
3/13/2020,28
3/14/2020,31
3/15/2020,53
3/16/2020,136
3/17/2020,236
3/18/2020,299
3/19/2020,454
3/20/2020,501
3/21/2020,730
3/22/2020,776
3/23/2020,875
3/24/2020,972
3/25/2020,1063
3/26/2020,1201
3/27/2020,1373
3/28/2020,1495
3/29/2020,1597
3/30/2020,1717
3/31/2020,1938
4/1/2020,2118
4/2/2020,2421
4/3/2020,2686
